order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
17,15,Shipped,F,5/26/2023 2:33:00,,5/26/2023 16:32:00,,1
30,25,Shipped,F,9/19/2022 9:49:00,,9/20/2022 0:29:00,,1
37,31,Shipped,F,6/15/2021 14:36:00,,6/18/2021 5:50:00,,1
41,35,Shipped,F,12/3/2022 6:50:00,,12/3/2022 15:06:00,,1
56,46,Shipped,F,11/7/2021 8:14:00,,11/9/2021 22:01:00,,1
72,56,Shipped,F,7/11/2023 14:02:00,,7/11/2023 14:38:00,,1
93,74,Shipped,F,7/20/2022 5:04:00,,7/22/2022 10:07:00,,1
103,84,Shipped,F,1/1/2022 10:25:00,,1/4/2022 6:32:00,,1
104,84,Shipped,F,4/27/2022 10:25:00,,4/28/2022 3:42:00,,2
134,107,Shipped,F,7/14/2023 6:02:00,,7/15/2023 17:42:00,,1
136,107,Shipped,F,5/12/2023 6:02:00,,5/12/2023 22:04:00,,2
138,108,Shipped,F,3/11/2023 3:28:00,,3/11/2023 12:30:00,,1
142,114,Shipped,F,4/20/2023 9:25:00,,4/22/2023 20:10:00,,1
145,116,Shipped,F,10/21/2021 0:22:00,,10/21/2021 19:50:00,,1
146,116,Shipped,F,9/3/2020 0:22:00,,9/3/2020 22:29:00,,4
148,116,Shipped,F,6/22/2020 0:22:00,,6/22/2020 3:38:00,,3
149,117,Shipped,F,9/21/2021 9:04:00,,9/22/2021 8:16:00,,1
154,120,Shipped,F,9/3/2021 14:45:00,,9/4/2021 20:43:00,,4
155,122,Shipped,F,7/30/2022 16:44:00,,7/31/2022 5:52:00,,1
169,131,Shipped,F,4/22/2023 5:44:00,,4/22/2023 20:12:00,,1
170,132,Shipped,F,4/30/2021 12:44:00,,4/30/2021 19:09:00,,1
171,132,Shipped,F,8/15/2022 12:44:00,,8/17/2022 4:45:00,,1
177,136,Shipped,F,1/5/2022 9:23:00,,1/6/2022 6:43:00,,1
184,143,Shipped,F,12/8/2021 6:47:00,,12/10/2021 22:39:00,,2
190,148,Shipped,F,4/2/2022 14:09:00,,4/3/2022 3:44:00,,1
191,148,Shipped,F,5/4/2022 14:09:00,,5/5/2022 18:57:00,,1
199,157,Shipped,F,8/27/2020 9:50:00,,8/29/2020 19:17:00,,1
203,160,Shipped,F,5/27/2023 7:48:00,,5/29/2023 12:44:00,,2
220,180,Shipped,F,2/1/2021 2:42:00,,2/2/2021 17:40:00,,1
222,182,Shipped,F,11/18/2020 9:29:00,,11/18/2020 16:58:00,,1
229,185,Shipped,F,1/9/2023 10:29:00,,1/11/2023 21:29:00,,1
230,185,Shipped,F,1/8/2023 10:29:00,,1/9/2023 21:12:00,,2
233,188,Shipped,F,6/18/2023 16:31:00,,6/19/2023 17:32:00,,3
249,200,Shipped,F,6/8/2022 14:02:00,,6/9/2022 21:05:00,,2
257,206,Shipped,F,1/24/2022 5:27:00,,1/25/2022 14:45:00,,2
263,209,Shipped,F,11/10/2020 6:29:00,,11/10/2020 14:51:00,,1
270,215,Shipped,F,4/28/2023 3:13:00,,4/28/2023 5:46:00,,1
278,222,Shipped,F,7/10/2023 13:02:00,,7/10/2023 22:25:00,,2
279,223,Shipped,F,6/26/2021 4:56:00,,6/27/2021 9:38:00,,1
294,232,Shipped,F,11/10/2021 17:09:00,,11/11/2021 21:36:00,,2
324,255,Shipped,F,11/26/2020 0:10:00,,11/27/2020 16:46:00,,1
332,262,Shipped,F,5/28/2023 4:14:00,,5/30/2023 18:16:00,,1
334,263,Shipped,F,4/4/2021 4:43:00,,4/5/2021 23:21:00,,1
340,269,Shipped,F,8/29/2022 12:15:00,,9/1/2022 2:12:00,,1
351,276,Shipped,F,10/20/2021 1:02:00,,10/20/2021 3:44:00,,1
352,277,Shipped,F,5/14/2023 12:02:00,,5/15/2023 8:06:00,,1
357,280,Shipped,F,10/23/2020 17:41:00,,10/24/2020 21:09:00,,2
364,286,Shipped,F,5/28/2023 8:08:00,,5/31/2023 1:08:00,,1
374,289,Shipped,F,7/6/2021 8:00:00,,7/6/2021 19:08:00,,1
392,303,Shipped,F,1/19/2021 2:17:00,,1/20/2021 8:22:00,,1
399,313,Shipped,F,7/24/2023 5:26:00,,7/25/2023 3:10:00,,1
402,314,Shipped,F,4/1/2022 15:37:00,,4/2/2022 19:33:00,,1
406,318,Shipped,F,12/16/2020 9:11:00,,12/18/2020 22:11:00,,2
411,326,Shipped,F,7/27/2023 13:50:00,,7/30/2023 8:44:00,,1
412,327,Shipped,F,5/15/2023 8:57:00,,5/15/2023 18:13:00,,1
